[2024-01-16 19:04:14] Proces: Discord.exe, Status: Console, PID: 11092, CPU: 1, Pamiêæ: 4ÿ896 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 10224, CPU: 1, Pamiêæ: 3ÿ284 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 9732, CPU: 1, Pamiêæ: 90ÿ976 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 9964, CPU: 1, Pamiêæ: 40ÿ684 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 9408, CPU: 1, Pamiêæ: 8ÿ340 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 10036, CPU: 1, Pamiêæ: 39ÿ040 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 9296, CPU: 1, Pamiêæ: 80ÿ628 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: Discord.exe, Status: Console, PID: 7980, CPU: 1, Pamiêæ: 16ÿ792 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: Discord.exe, Status: Console, PID: 10588, CPU: 1, Pamiêæ: 17ÿ700 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 8156, CPU: 1, Pamiêæ: 17ÿ656 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 11276, CPU: 1, Pamiêæ: 44ÿ396 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 11420, CPU: 1, Pamiêæ: 6ÿ632 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 11756, CPU: 1, Pamiêæ: 255ÿ876 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 11808, CPU: 1, Pamiêæ: 16ÿ132 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 5828, CPU: 1, Pamiêæ: 114ÿ928 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: msedge.exe, Status: Console, PID: 8496, CPU: 1, Pamiêæ: 5ÿ664 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 11172, CPU: 1, Pamiêæ: 2ÿ996 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 8004, CPU: 1, Pamiêæ: 162ÿ988 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 8440, CPU: 1, Pamiêæ: 48ÿ168 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 12292, CPU: 1, Pamiêæ: 10ÿ676 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 12676, CPU: 1, Pamiêæ: 100ÿ840 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 12768, CPU: 1, Pamiêæ: 196ÿ828 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 13136, CPU: 1, Pamiêæ: 26ÿ904 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 13144, CPU: 1, Pamiêæ: 19ÿ276 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 13152, CPU: 1, Pamiêæ: 17ÿ908 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 9488, CPU: 1, Pamiêæ: 185ÿ876 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
[2024-01-16 19:04:14] Proces: chrome.exe, Status: Console, PID: 12660, CPU: 1, Pamiêæ: 13ÿ968 K, Obci¹¿enie CPU: N/A, Czas CPU systemu: N/A
